data,produto,preço,is_promoção
2026-04-29,Arroz Agulhinha 5kg (Marca A - 0),35.14,False
2026-04-29,Feijão Carioca 1kg (Premium - 1),8.12,False
2026-04-29,Açúcar Refinado 1kg (Marca A - 2),40.7,True
2026-04-29,Café Torrado 500g (Premium - 3),7.7,False
2026-04-29,Óleo de Soja 900ml (Marca A - 4),21.09,False
2026-04-29,Leite Integral 1L (Marca B - 5),15.88,True
2026-04-29,Macarrão Espaguete 500g (Marca B - 6),46.14,False
2026-04-29,Molho de Tomate 340g (Econômica - 7),22.52,True
2026-04-29,Sal Refinado 1kg (Premium - 8),19.57,True
2026-04-29,Farinha de Trigo 1kg (Econômica - 9),37.47,False
2026-04-29,Manteiga com Sal 200g (Econômica - 10),18.73,False
2026-04-29,Ovos Brancos 12un (Marca B - 11),10.76,True
2026-04-29,Pão de Forma 500g (Premium - 12),40.81,True
2026-04-29,Frango Inteiro kg (Marca B - 13),43.28,False
2026-04-29,Carne Moída Patinho kg (Marca B - 14),40.51,False
2026-04-29,Detergente Líquido 500ml (Premium - 15),39.61,False
2026-04-29,Sabão em Pó 1kg (Marca B - 16),22.84,True
2026-04-29,Papel Higiênico 12un (Marca B - 17),10.3,False
2026-04-29,Creme Dental 90g (Marca A - 18),33.21,False
2026-04-29,Shampoo 400ml (Econômica - 19),36.38,False
2026-04-29,Sabonete 90g (Marca A - 20),29.65,True
2026-04-29,Banana Prata kg (Marca B - 21),22.24,True
2026-04-29,Maçã Gala kg (Premium - 22),35.31,True
2026-04-29,Cebola kg (Marca B - 23),21.47,False
2026-04-29,Alho 200g (Marca A - 24),11.42,False
2026-04-29,Batata Inglesa kg (Marca B - 25),8.05,False
2026-04-29,Tomate Italiano kg (Marca A - 26),33.97,True
2026-04-29,Biscoito Recheado 130g (Marca A - 27),7.67,False
2026-04-29,Suco de Uva 1L (Econômica - 28),22.29,False
2026-04-29,Cerveja Lata 350ml (Econômica - 29),13.92,False
2026-04-29,Arroz Agulhinha 5kg (Marca A - 30),8.47,True
2026-04-29,Feijão Carioca 1kg (Marca A - 31),15.02,True
2026-04-29,Açúcar Refinado 1kg (Marca B - 32),14.53,False
2026-04-29,Café Torrado 500g (Marca A - 33),18.18,True
2026-04-29,Óleo de Soja 900ml (Econômica - 34),31.72,False
2026-04-29,Leite Integral 1L (Marca A - 35),22.79,True
2026-04-29,Macarrão Espaguete 500g (Marca B - 36),21.78,False
2026-04-29,Molho de Tomate 340g (Econômica - 37),22.48,False
2026-04-29,Sal Refinado 1kg (Econômica - 38),35.47,True
2026-04-29,Farinha de Trigo 1kg (Econômica - 39),39.53,True
2026-04-29,Manteiga com Sal 200g (Marca A - 40),5.36,True
2026-04-29,Ovos Brancos 12un (Premium - 41),16.83,True
2026-04-29,Pão de Forma 500g (Marca A - 42),31.1,True
2026-04-29,Frango Inteiro kg (Marca B - 43),32.1,False
2026-04-29,Carne Moída Patinho kg (Marca A - 44),28.71,False
2026-04-29,Detergente Líquido 500ml (Econômica - 45),40.93,True
2026-04-29,Sabão em Pó 1kg (Marca A - 46),43.4,False
2026-04-29,Papel Higiênico 12un (Premium - 47),21.28,False
2026-04-29,Creme Dental 90g (Marca B - 48),9.74,False
2026-04-29,Shampoo 400ml (Econômica - 49),15.35,True
