data,produto,preço,is_promoção
2026-04-29,Feijão Carioca 1kg (Premium - 1),12.65,True
2026-04-29,Açúcar Refinado 1kg (Marca A - 2),36.02,False
2026-04-29,Café Torrado 500g (Premium - 3),15.09,True
2026-04-29,Óleo de Soja 900ml (Marca A - 4),6.48,False
2026-04-29,Leite Integral 1L (Marca B - 5),30.18,True
2026-04-29,Macarrão Espaguete 500g (Marca B - 6),6.58,False
2026-04-29,Molho de Tomate 340g (Econômica - 7),7.82,True
2026-04-29,Sal Refinado 1kg (Premium - 8),24.2,False
2026-04-29,Farinha de Trigo 1kg (Econômica - 9),40.2,True
2026-04-29,Manteiga com Sal 200g (Econômica - 10),44.28,True
2026-04-29,Ovos Brancos 12un (Marca B - 11),32.12,True
2026-04-29,Pão de Forma 500g (Premium - 12),27.83,True
2026-04-29,Frango Inteiro kg (Marca B - 13),51.52,False
2026-04-29,Carne Moída Patinho kg (Marca B - 14),16.84,True
2026-04-29,Detergente Líquido 500ml (Premium - 15),35.51,False
2026-04-29,Sabão em Pó 1kg (Marca B - 16),10.31,True
2026-04-29,Papel Higiênico 12un (Marca B - 17),16.66,True
2026-04-29,Creme Dental 90g (Marca A - 18),9.65,False
2026-04-29,Shampoo 400ml (Econômica - 19),12.31,True
2026-04-29,Sabonete 90g (Marca A - 20),37.07,False
2026-04-29,Banana Prata kg (Marca B - 21),16.74,False
2026-04-29,Maçã Gala kg (Premium - 22),19.66,False
2026-04-29,Cebola kg (Marca B - 23),14.53,False
2026-04-29,Alho 200g (Marca A - 24),8.84,False
2026-04-29,Batata Inglesa kg (Marca B - 25),36.31,True
2026-04-29,Tomate Italiano kg (Marca A - 26),27.78,False
2026-04-29,Biscoito Recheado 130g (Marca A - 27),17.72,False
2026-04-29,Suco de Uva 1L (Econômica - 28),32.48,False
2026-04-29,Cerveja Lata 350ml (Econômica - 29),29.22,False
2026-04-29,Arroz Agulhinha 5kg (Marca A - 30),42.39,False
2026-04-29,Feijão Carioca 1kg (Marca A - 31),32.08,False
2026-04-29,Açúcar Refinado 1kg (Marca B - 32),7.72,True
2026-04-29,Café Torrado 500g (Marca A - 33),36.89,True
2026-04-29,Óleo de Soja 900ml (Econômica - 34),8.58,False
2026-04-29,Leite Integral 1L (Marca A - 35),42.5,False
2026-04-29,Macarrão Espaguete 500g (Marca B - 36),51.05,False
2026-04-29,Molho de Tomate 340g (Econômica - 37),32.01,True
2026-04-29,Sal Refinado 1kg (Econômica - 38),9.95,True
2026-04-29,Farinha de Trigo 1kg (Econômica - 39),11.86,False
2026-04-29,Manteiga com Sal 200g (Marca A - 40),15.29,False
2026-04-29,Ovos Brancos 12un (Premium - 41),20.75,False
2026-04-29,Pão de Forma 500g (Marca A - 42),6.84,True
2026-04-29,Frango Inteiro kg (Marca B - 43),14.98,False
2026-04-29,Carne Moída Patinho kg (Marca A - 44),14.78,True
2026-04-29,Detergente Líquido 500ml (Econômica - 45),20.0,False
2026-04-29,Sabão em Pó 1kg (Marca A - 46),39.31,False
2026-04-29,Papel Higiênico 12un (Premium - 47),52.25,False
2026-04-29,Creme Dental 90g (Marca B - 48),8.7,True
2026-04-29,Shampoo 400ml (Econômica - 49),34.37,True
2026-04-29,Sabonete 90g (Premium - 50),29.77,True
2026-04-29,Banana Prata kg (Premium - 51),14.94,True
2026-04-29,Maçã Gala kg (Econômica - 52),42.52,False
2026-04-29,Cebola kg (Econômica - 53),28.4,False
2026-04-29,Alho 200g (Marca A - 54),31.27,True
2026-04-29,Batata Inglesa kg (Premium - 55),24.54,True
2026-04-29,Tomate Italiano kg (Marca B - 56),17.27,False
2026-04-29,Biscoito Recheado 130g (Marca A - 57),40.5,True
2026-04-29,Suco de Uva 1L (Premium - 58),39.88,True
2026-04-29,Cerveja Lata 350ml (Marca B - 59),49.6,False
2026-04-29,Arroz Agulhinha 5kg (Premium - 60),33.95,True
2026-04-29,Feijão Carioca 1kg (Marca A - 61),11.14,False
2026-04-29,Açúcar Refinado 1kg (Premium - 62),35.24,False
2026-04-29,Café Torrado 500g (Marca B - 63),11.41,True
2026-04-29,Óleo de Soja 900ml (Marca B - 64),25.47,True
2026-04-29,Leite Integral 1L (Econômica - 65),21.96,False
2026-04-29,Macarrão Espaguete 500g (Premium - 66),28.4,True
2026-04-29,Molho de Tomate 340g (Econômica - 67),37.14,True
2026-04-29,Sal Refinado 1kg (Econômica - 68),32.13,False
2026-04-29,Farinha de Trigo 1kg (Econômica - 69),35.24,True
2026-04-29,Manteiga com Sal 200g (Premium - 70),31.93,True
2026-04-29,Ovos Brancos 12un (Marca A - 71),6.77,True
2026-04-29,Pão de Forma 500g (Marca A - 72),48.6,False
2026-04-29,Frango Inteiro kg (Marca B - 73),13.6,False
2026-04-29,Carne Moída Patinho kg (Marca B - 74),7.75,False
2026-04-29,Detergente Líquido 500ml (Premium - 75),47.03,False
2026-04-29,Sabão em Pó 1kg (Marca B - 76),17.2,True
2026-04-29,Papel Higiênico 12un (Econômica - 77),48.41,False
2026-04-29,Creme Dental 90g (Marca A - 78),42.39,False
2026-04-29,Shampoo 400ml (Marca B - 79),52.3,False
2026-04-29,Sabonete 90g (Marca A - 80),42.89,False
2026-04-29,Banana Prata kg (Marca A - 81),13.61,True
2026-04-29,Maçã Gala kg (Marca B - 82),7.59,True
2026-04-29,Cebola kg (Premium - 83),20.05,True
2026-04-29,Alho 200g (Marca B - 84),18.06,True
2026-04-29,Batata Inglesa kg (Econômica - 85),47.68,False
2026-04-29,Tomate Italiano kg (Marca A - 86),13.33,True
2026-04-29,Biscoito Recheado 130g (Marca A - 87),27.77,True
2026-04-29,Suco de Uva 1L (Premium - 88),37.9,False
2026-04-29,Cerveja Lata 350ml (Econômica - 89),9.51,True
2026-04-29,Arroz Agulhinha 5kg (Marca B - 90),24.38,False
2026-04-29,Feijão Carioca 1kg (Marca A - 91),22.86,True
2026-04-29,Açúcar Refinado 1kg (Econômica - 92),36.72,False
2026-04-29,Café Torrado 500g (Marca A - 93),23.51,True
2026-04-29,Óleo de Soja 900ml (Premium - 94),26.2,True
2026-04-29,Leite Integral 1L (Marca B - 95),29.51,True
2026-04-29,Macarrão Espaguete 500g (Marca B - 96),27.72,True
2026-04-29,Molho de Tomate 340g (Premium - 97),31.79,True
2026-04-29,Sal Refinado 1kg (Marca A - 98),14.92,True
2026-04-29,Farinha de Trigo 1kg (Premium - 99),16.71,False
