data,produto,preço,is_promocao
2026-04-29,Arroz Prato Fino 5kg,24.80,False
2026-04-29,Arroz Agulhinha 5kg (Marca A - 0),29.33,True
2026-04-29,Feijão Carioca 1kg (Premium - 1),13.05,False
2026-04-29,Açúcar Refinado 1kg (Marca A - 2),39.27,False
2026-04-29,Café Torrado 500g (Premium - 3),17.86,False
2026-04-29,Óleo de Soja 900ml (Marca A - 4),14.7,False
2026-04-29,Leite Integral 1L (Marca B - 5),5.92,True
2026-04-29,Macarrão Espaguete 500g (Marca B - 6),14.49,True
2026-04-29,Molho de Tomate 340g (Econômica - 7),31.52,False
2026-04-29,Sal Refinado 1kg (Premium - 8),34.37,True
2026-04-29,Farinha de Trigo 1kg (Econômica - 9),38.26,False
2026-04-29,Manteiga com Sal 200g (Econômica - 10),44.48,False
2026-04-29,Ovos Brancos 12un (Marca B - 11),30.5,True
2026-04-29,Pão de Forma 500g (Premium - 12),39.84,True
2026-04-29,Frango Inteiro kg (Marca B - 13),27.28,False
2026-04-29,Carne Moída Patinho kg (Marca B - 14),29.09,False
2026-04-29,Sabonete 90g (Marca A - 20),12.0,True
2026-04-29,Banana Prata kg (Marca B - 21),37.44,True
2026-04-29,Maçã Gala kg (Premium - 22),44.6,False
2026-04-29,Cebola kg (Marca B - 23),13.25,False
2026-04-29,Batata Inglesa kg (Marca B - 25),26.9,True
2026-04-29,Tomate Italiano kg (Marca A - 26),20.17,True
2026-04-29,Biscoito Recheado 130g (Marca A - 27),36.12,True
2026-04-29,Suco de Uva 1L (Econômica - 28),7.26,True
2026-04-29,Cerveja Lata 350ml (Econômica - 29),26.43,True
