id	data	horario	barcode	produto	preço	is_promocao
9b73c4ac	2026-05-21	08:33:26		Feijão Carioca Tipuá Tp1 1kg	8,98	FALSE
e17f71ef	2026-05-21	08:33:26		Feijão Carioca Anchieta 1kg	9,58	FALSE
71a7a3be	2026-05-21	08:33:26		Feijão Preto Tipuá Tp1 1kg	4,98	FALSE
b01aae09	2026-05-21	08:33:26		Feijão Carioca Belo Grão Tp1 1kg	5,98	FALSE
ce7c8814	2026-05-21	08:33:26		Feijão Carioca Galante Tp1 1kg	12,98	FALSE
4e5cf8f8	2026-05-21	08:33:26		Feijao Carioca Vasconcelos Nobre Tp1 1k	10,98	FALSE
5457cd31	2026-05-21	08:33:26		Feijão Vermelho Tipuá Tp1 1kg	7,98	FALSE
76b9c8a8	2026-05-21	08:33:26		Feijao Vermelho Anchieta Tp1 1k	7,98	FALSE
c7700667	2026-05-21	08:33:26		Feijao Preto Anchieta Tp1 1k	6,98	FALSE
48d4979b	2026-05-21	08:33:26		Feijão Preto Galante Tp1 1kg	8,98	FALSE
29e03b92	2026-05-21	08:33:26		Feijão Vermelho Galante Tp1 1kg	12,98	FALSE
ff5a4afa	2026-05-21	08:33:26		Feijão Carioca Patureba T1 1k	9,98	FALSE
5d15efc2	2026-05-21	08:33:26		Feijão Preto Vasconcelos Tp1 1k	7,98	FALSE
49d62560	2026-05-21	08:33:26		Feijão Jalo Tipuá Tp1 1kg	11,98	FALSE
6dc5a511	2026-05-21	08:33:26		Feijao Jalo Galante Tp1 1k	13,98	FALSE
f826f537	2026-05-21	08:33:26		Feijão Carioca Farid 1kg	8,58	FALSE
2a3fbd83	2026-05-21	08:33:26		Feijão Jalo Vasconcelos Tp1 1k	11,98	FALSE
a6f8a0b6	2026-05-21	08:33:26		Feijão Carioca Grão Mestre 1kg	6,98	FALSE
0dbdda5b	2026-05-21	08:33:26		Feijao Preto Grao Mestre 1k	7,98	FALSE
db891975	2026-05-21	08:33:26		Feijão Branco Tipo 1 Vasconcelos 1kg	11,98	FALSE
8616200f	2026-05-21	08:33:26		Feijão Preto Carrijo Tipo 1 1k	8,98	FALSE
dde924ba	2026-05-21	08:33:26		Feijão Vermelho Grão Mestre 1kg	7,98	FALSE
728a2578	2026-05-21	08:33:26		Feijão Fradinho Vasconcelos Tp1 1kg	6,49	FALSE
52cea8b7	2026-05-21	08:33:26		Feijão Carioca Carrijo Tipo 1 1kg	7,49	FALSE
0e395150	2026-05-21	08:33:37		Arroz Prato Fino 5kg	25,90	FALSE
86be0ea6	2026-05-21	08:33:37		Arroz Tipo 1 Vasconcelos 5kg	24,90	FALSE
8988dc77	2026-05-21	08:33:37		Arroz Tipo 1 Patosul Vasconcelos 5kg	17,90	FALSE
1a7a8a34	2026-05-21	08:33:37		Arroz Sempre Bom Tp1 5kg	19,90	FALSE
0bc46c08	2026-05-21	08:33:37		Arroz Ciagro Tp1 5kg	22,90	FALSE
65e2cd36	2026-05-21	08:33:37		Arroz Tipo 1 Beira Rio 5kg	21,90	FALSE
777f0aa4	2026-05-21	08:33:37		Arroz Tipo1 Albaruska 5k	27,90	FALSE
f39fa2eb	2026-05-21	08:33:37		Arroz Prato Fino Parboilizado 5kg	26,80	FALSE
f040a03e	2026-05-21	08:33:37		Arroz Rei Arthur Tp1 5kg	23,98	FALSE
45592dd6	2026-05-21	08:33:37		Arroz Oryza Tp1 5k	21,90	FALSE
c805f3c5	2026-05-21	08:33:37		Arroz Streck Tp1 5k	21,90	FALSE
79612804	2026-05-21	08:33:37		Arroz Campineiro Tp1 5k	14,80	FALSE
b57c249a	2026-05-21	08:33:37		Arroz Prato Fino Parboilizado Integral 5kg	27,90	FALSE
08aedca6	2026-05-21	08:33:37		Arroz Ciagro Parboilizado Tp1 5kg	22,90	FALSE
2552f733	2026-05-21	08:33:37		Arroz Vasconcelos Parboilizado 5k	24,90	FALSE
521527ea	2026-05-21	08:33:37		Arroz Filé 5k	16,90	FALSE
f70becf3	2026-05-21	08:33:37		Arroz Elo Tipo 1 Nobre 5k	23,50	FALSE
8ca0cb45	2026-05-21	08:33:37		Arroz Gladiador Tp1 5kg	28,90	FALSE
83668bf4	2026-05-21	08:33:47		Óleo de Soja Liza 900ml	7,09	FALSE
848a52b4	2026-05-21	08:33:47		Óleo de Girassol Sinhá 900ml	11,98	FALSE
274c697b	2026-05-21	08:33:47		Óleo de Milho Sinhá 900ml	13,98	FALSE
d90d58ab	2026-05-21	08:33:47		Óleo de Canola Sinhá 900ml	14,98	FALSE
83e437c4	2026-05-21	08:33:47		Óleo de Girassol Liza 900ml	14,98	FALSE
80910713	2026-05-21	08:33:47		Óleo de Milho Liza 900ml	17,98	FALSE
76a287ac	2026-05-21	08:33:47		Óleo de Canola Liza 900ml	18,98	FALSE
cf3da39f	2026-05-21	08:33:47		Óleo Girassol Soya 900ml	11,98	FALSE
573d873d	2026-05-21	08:33:47		Óleo de Milho Soya 900ml	16,98	FALSE
5697af06	2026-05-21	08:33:47		Oleo Soja Vitaliv Pet 900ml	7,28	FALSE
179ee160	2026-05-21	08:33:47		Oleo de Soja Abc Pet 900ml	8,28	FALSE
39523cf9	2026-05-21	08:34:11		Suco Tial Uva 1l	6,48	FALSE
c7dc5f1e	2026-05-21	08:34:11		Suco Tial Kids Uva 200ml	1,98	FALSE
2d8488c2	2026-05-21	08:34:11		Suco Alianca Integral Uva Tinto 1,5l	19,98	FALSE
dd69864e	2026-05-21	08:34:11		Suco Aliança Integral Tipo Uva 1l	11,99	FALSE
f236f10c	2026-05-21	08:34:11		Suco Del Valle Kapo Uva 200ml	2,99	FALSE
d02c280c	2026-05-21	08:34:11		Suco Tial Manga 1l	6,48	FALSE
2885caf6	2026-05-21	08:34:11		Suco Tial Goiaba 1l	6,48	FALSE
35e281d1	2026-05-21	08:34:11		Suco Del Valle Kapo Morango 200ml	2,99	FALSE
80fea316	2026-05-21	08:34:11		Suco Dafruta Nectar Uva 200ml	1,58	FALSE
2cf34d7c	2026-05-21	08:34:11		Suco Tial Kids Pêssego 200ml	1,98	FALSE
45d71bc6	2026-05-21	08:34:11		Suco Tial Kids Manga 200ml	1,98	FALSE
299fd40e	2026-05-21	08:34:11		Suco Tial 100% Uva 1l	11,98	FALSE
4b387c18	2026-05-21	08:34:11		Suco Tial Abacaxi 1l	6,48	FALSE
fbe2d304	2026-05-21	08:34:11		Suco Dafruta Nectar 200ml Maracujá	1,58	FALSE
e8ad8f6f	2026-05-21	08:34:11		Suco Tial Laranja e Maça 1l	6,48	FALSE
4ec682d1	2026-05-21	08:34:11		Suco Campo Largo Uva 1,350l	16,90	FALSE
10209e22	2026-05-21	08:34:11		Suco Tial Kids Cajú 200ml	1,98	FALSE
b572745b	2026-05-21	08:34:11		Suco Tial Cajú 1l	6,48	FALSE
7a072e6e	2026-05-21	08:34:11		Suco Tial Kids Laranja 200ml	1,98	FALSE
972ea10f	2026-05-21	08:34:11		Suco Del Valle Maracujá 1l	9,98	FALSE
ffdb4f9d	2026-05-21	08:34:11		Suco Del Valle Pêssego 1l	9,98	FALSE
df82ccf9	2026-05-21	08:34:11		Suco Dafruta Nectar Goiaba 200ml	1,58	FALSE
0da01ad7	2026-05-21	08:34:11		Suco Bela Ischia Concentrado Cajú 1l	9,98	FALSE
7e22b9b8	2026-05-21	08:34:11		Suco Tial Kids Goiaba 200ml	1,98	FALSE
93ccc763	2026-05-21	08:34:11		Suco Oq Integral 1,5l Uva	19,90	FALSE
84ac02c1	2026-05-21	08:34:11		Suco Tial Kids 100% Uva/Pera 200ml	3,18	FALSE
ef997783	2026-05-21	08:34:11		Suco Spres Laranja 900ml	9,98	FALSE
06723fdf	2026-05-21	08:34:11		Suco Del Valle Uva S/ Adição de Açúcar 1l	9,98	FALSE
0cba252c	2026-05-21	08:34:11		Suco Del Valle Kapo Maracujá 200ml	2,99	FALSE
c55650a1	2026-05-21	08:34:11		Suco Maguary Nectar Morango 1l	5,48	FALSE
f8acb691	2026-05-21	08:34:11		Suco Tial 100% Goiaba 1l	11,98	FALSE
01b8a7e3	2026-05-21	08:34:11		Suco Tial 100% Pêssego/Maçã 1l	11,98	FALSE
079a5731	2026-05-21	08:34:11		Suco Del Valle Kapo Abacaxi 200ml	2,99	FALSE
51b783fc	2026-05-21	08:34:11		Suco Tial 100% Manga 1l	11,98	FALSE
ce8741fc	2026-05-21	08:34:11		Suco Del Valle Kapo Laranja 200ml	2,99	FALSE
3b03e58d	2026-05-21	08:34:11		Suco Tial 100% Maçã 1l	11,98	FALSE
4abbbaa4	2026-05-21	08:34:11		Suco Tial Kids 100% Maçã 200ml	3,18	FALSE
6de490fb	2026-05-21	08:34:11		Suco Del Valle Uva 1l	9,98	FALSE
1b2583a9	2026-05-21	08:34:11		Suco Maguary Nectar Maracujá 1l	5,48	FALSE
40eb96a0	2026-05-21	08:34:11		Suco Tial 100% Laranja 1l	11,98	FALSE
87117284	2026-05-21	08:34:11		Suco Dafruta Nectar Laranja 200ml	1,58	FALSE
cc1e4d4a	2026-05-21	08:34:11		Suco Del Valle Kapo Maça 200ml	2,99	FALSE
4caf1c5c	2026-05-21	08:34:11		Suco Oq Integral Laranja 1l	18,90	FALSE
acf558c1	2026-05-21	08:34:11		Suco Maguary Nectar Cajú 1l	5,48	FALSE
02a3f2c8	2026-05-21	08:34:11		Suco Dafruta Concentrado Cajú 1l	4,48	FALSE
74a8f666	2026-05-21	08:34:11		Suco Bela Ischia Concentrado Goiaba 1l	13,98	FALSE
2114eb40	2026-05-21	08:34:11		Suco Bela Ischia Concentrado Uva 1l	15,98	FALSE
e54e6e63	2026-05-21	08:34:11		Suco Spres Laranja e Morango 900ml	17,90	FALSE
eb8fdf29	2026-05-21	08:34:11		Suco Del Valle Manga 1l	9,98	FALSE
0a028341	2026-05-21	08:34:11		Suco Bela Ischia Concentrado Maracujá 1l	19,98	FALSE
85fa9744	2026-05-21	08:34:11		Suco Maguary Nectar Tangerina 1l	5,48	FALSE
93a17102	2026-05-21	08:34:11		Suco Del Valle Frut Fresh Limão 1,5l	7,98	FALSE
4b1e1041	2026-05-21	08:34:11		Suco Maguary Nectar Laranja 1l	5,48	FALSE
037129a7	2026-05-21	08:34:11		Suco Del Valle Abacaxi 1l	9,98	FALSE
7f901c40	2026-05-21	08:34:11		Suco Fruit Shoot 150ml Uva	0,99	FALSE
85e2c889	2026-05-21	08:34:11		Suco Spres Laranja 300ml	6,98	FALSE
c8603a54	2026-05-21	08:34:11		Suco Nat.One 900ml Lar	15,99	FALSE
63937358	2026-05-21	08:34:11		Suco Yakult Maca 200ml	4,59	FALSE
ea528890	2026-05-21	08:34:11		Suco Campo Largo Uva Integral 200ml	4,59	FALSE
d29a7351	2026-05-21	08:34:11		Suco Campo Largo Laranja 1,350l	16,90	FALSE
96d95ecd	2026-05-21	08:34:11		Suco Tial Baixa Caloria Uva e Morango 1l	6,98	FALSE
2339e1ea	2026-05-21	08:34:11		Suco Del Valle Cajú S/ Adição de Açúcar 1l	9,98	FALSE
b478f0f9	2026-05-21	08:34:11		Suco Del Valle Laranja 1l	9,98	FALSE
5f07bfe3	2026-05-21	08:34:11		Suco Garibalda 1,5l Uva Tinto	21,98	FALSE
0e5573f0	2026-05-21	08:34:11		Suco Aurora Uva Integral Vidro 1,5l	24,99	FALSE
a739386d	2026-05-21	08:34:11		Suco Dafruta Concentrado Cajú 500ml	4,99	FALSE
b72472a1	2026-05-21	08:34:11		Suco Concentrado Maracujá Maguary Garrafa 1l	21,90	FALSE
e328f04d	2026-05-21	08:34:11		Suco Natural One Ambiente Uva/Maça 180ml	3,99	FALSE
8562bc62	2026-05-21	08:34:11		Suco Bela Ischia Concentrado Manga 1l	13,98	FALSE
409dfc4a	2026-05-21	08:34:11		Suco Maguary Cajú 500ml	6,78	FALSE
5eda008c	2026-05-21	08:34:11		Suco Fruit Shoot 150ml Maracujá	0,99	FALSE
4c2550d1	2026-05-21	08:34:11		Suco Fruit Shoot 150ml Laranja	0,99	FALSE
0986c2c5	2026-05-21	08:34:11		Suco Maguary Maracujá 500ml	12,90	FALSE
0297dc54	2026-05-21	08:34:11		Suco Tial 100% Morango 1l	11,98	FALSE
d825be5a	2026-05-21	08:34:11		Suco D.Valle Frut 450ml Uva	3,48	FALSE
b7be52dd	2026-05-21	08:34:11		Suco Nat.One Int.300ml Lar	6,99	FALSE
8db30d33	2026-05-21	08:34:11		Suco Maguary Concentrado Cajú 1l	11,98	FALSE
24e16a7a	2026-05-21	08:34:11		Suco Campo Largo Integral Maçã 1,350l	16,90	FALSE
439222fc	2026-05-21	08:34:11		Suco Nat.One 900ml Uva/Maca	15,99	FALSE
b78520ab	2026-05-21	08:34:11		Suco Natural One Ambiente Integral Laranja 180ml	3,99	FALSE
edc0f623	2026-05-21	08:34:11		Suco Natural One Ambiente Integral Maça 180ml	3,99	FALSE
b442b04d	2026-05-21	08:34:11		Suco Del Valle Néctar 100% Maçâ 200ml	3,48	FALSE
d9258d5d	2026-05-21	08:34:11		Suco Fruit Shoot 150ml Morango	0,99	FALSE
4c20fcd7	2026-05-21	08:34:11		Suco Natural One Ambiente Uva/Maca 900ml	11,98	FALSE
