id	data	horario	barcode	produto	preço	is_promocao
7gjtan73	2026-05-21	12:29:58		Bebida Láctea BH 800g	5,58	TRUE
7gjtan74	2026-05-21	12:29:58		Leite Fermentado BH 800g	6,48	TRUE
7gjtan75	2026-05-21	12:29:58		Iogurte Líquido BH 90g	1,98	TRUE
7gjtan76	2026-05-21	12:29:58		Iogurte Grego/Natural/Pedaços BH 400g	6,98	TRUE
7gjtan77	2026-05-21	12:29:58		Bebida Láctea BH 200ml	0,98	TRUE
7gjtan78	2026-05-21	12:29:58		Requeijão Cremoso BH 200g	7,98	TRUE
7gjtan79	2026-05-21	12:29:58		Manteiga BH c/ Sal 200g	9,48	TRUE
7gjtan7a	2026-05-21	12:29:58		Presunto BH Fatiado 180g	7,98	TRUE
7gjtan7b	2026-05-21	12:29:58		Massa c/ Ovos BH 500g	3,68	TRUE
7gjtan7c	2026-05-21	12:29:58		Detergente em Pó BH 2,2kg	15,98	TRUE
7gjtan7d	2026-05-21	12:29:58		Suco de Uva BH 900ml	9,98	TRUE
7gjtan7e	2026-05-21	12:29:58		Cerveja Bohemia 473ml	4,18	TRUE
7gjtan7f	2026-05-21	12:29:58		Cerveja Michelob Ultra 330ml	4,98	TRUE
7gjtan7g	2026-05-21	12:29:58		Cerveja Corona Cero 350ml	4,98	TRUE
7gjtan7h	2026-05-21	12:29:58		Refrigerante H20H! 350ml	3,48	TRUE
7gjtan7i	2026-05-21	12:29:58		Refrigerante Pepsi 3L	9,98	TRUE
7gjtan7j	2026-05-21	12:29:58		Kit Sabonete Dove c/6	22,98	TRUE
7gjtan7k	2026-05-21	12:29:58		Kit Seda Shampoo + Condicionador	15,80	TRUE
7gjtan7l	2026-05-21	12:29:58		Detergente em Pó Omo 4kg	46,90	TRUE
7gjtan7m	2026-05-21	12:29:58		Lava Roupas Líquido Omo 3L	31,98	TRUE
7gjtan7n	2026-05-21	12:29:58		Amaciante Comfort 1L	15,98	TRUE
7gjtan7o	2026-05-21	12:29:58		Linguiça Mista Perdigão kg	15,80	TRUE
7gjtan7p	2026-05-21	12:29:58		Bacon Seara kg	29,98	TRUE
7gjtan7q	2026-05-21	12:29:58		Mortadela Bolognella Perdigão kg	16,98	TRUE
7gjtan7r	2026-05-21	12:29:58		Salsicha Hot Dog Perdigão kg	9,98	TRUE
7gjtan7s	2026-05-21	12:29:58		Linguiça Calabresa Perdigão 400g	11,98	TRUE
7gjtan7t	2026-05-21	12:29:58		Presunto Sadia kg	29,98	TRUE
7gjtan7u	2026-05-21	12:29:58		Filé de Peito de Frango Avivar 400g	12,98	TRUE
7gjtan7v	2026-05-21	12:29:58		Pizza Pif Paf 460g	13,98	TRUE
7gjtan7w	2026-05-21	12:29:58		Arroz Agulhinha BH 5kg	16,90	TRUE
7gjtan7x	2026-05-21	12:29:58		Filé de Peito de Frango Nat 1kg	17,80	TRUE
7gjtan7y	2026-05-21	12:29:58		Coxinha da Asa de Frango kg	11,98	TRUE
7gjtan7z	2026-05-21	12:29:58		Lasanha Mamma D’alva 600g	7,98	TRUE
7gjtan80	2026-05-21	12:29:58		Empanado Tekitos Seara 1kg	14,98	TRUE
7gjtan81	2026-05-21	12:29:58		Batata McCain 1,5kg	19,98	TRUE
7gjtan82	2026-05-21	12:29:58		Manteiga Itambé 500g	23,98	TRUE
7gjtan83	2026-05-21	12:29:58		Margarina Claybom 1kg	11,48	TRUE
7gjtan84	2026-05-21	12:29:58		Requeijão Camponesa 400g	13,98	TRUE
7gjtan85	2026-05-21	12:29:58		Queijo Minas Frescal Porto Alegre kg	35,98	TRUE
7gjtan86	2026-05-21	12:29:58		Petit Suisse Trevo Kids 320g	5,98	TRUE
7gjtan87	2026-05-21	12:29:58		Iogurte Líquido Nestlé 1,15kg	14,98	TRUE
7gjtan88	2026-05-21	12:29:58		Iogurte Polpa Nestlé 510g	5,98	TRUE
